,Country,Population
1,China,"1,439,323,776"
2,India,"1,380,004,385"
3,United States of America,"331,002,651"
4,Indonesia,"273,523,615"
5,Pakistan,"220,892,340"
6,Brazil,"212,559,417"
7,Nigeria,"206,139,589"
8,Bangladesh,"164,689,383"
9,Russia,"145,934,462"
10,Mexico,"128,932,753"
11,Japan,"126,476,461"
12,Ethiopia,"114,963,588"
13,Philippines,"109,581,078"
14,Egypt,"102,334,404"
15,Vietnam,"97,338,579"
16,DR Congo,"89,561,403"
17,Turkey,"84,339,067"
18,Iran,"83,992,949"
19,Germany,"83,783,942"
20,Thailand,"69,799,978"
21,United Kingdom,"67,886,011"
22,France,"65,273,511"
23,Italy,"60,461,826"
24,Tanzania,"59,734,218"
25,South Africa,"59,308,690"
26,Myanmar,"54,409,800"
27,Kenya,"53,771,296"
28,South Korea,"51,269,185"
29,Colombia,"50,882,891"
30,Spain,"46,754,778"
31,Uganda,"45,741,007"
32,Argentina,"45,195,774"
33,Algeria,"43,851,044"
34,Sudan,"43,849,260"
35,Ukraine,"43,733,762"
36,Iraq,"40,222,493"
37,Afghanistan,"38,928,346"
38,Poland,"37,846,611"
39,Canada,"37,742,154"
40,Morocco,"36,910,560"
41,Saudi Arabia,"34,813,871"
42,Uzbekistan,"33,469,203"
43,Peru,"32,971,854"
44,Angola,"32,866,272"
45,Malaysia,"32,365,999"
46,Mozambique,"31,255,435"
47,Ghana,"31,072,940"
48,Yemen,"29,825,964"
49,Nepal,"29,136,808"
50,Venezuela,"28,435,940"
51,Madagascar,"27,691,018"
52,Cameroon,"26,545,863"
53,Côte d'Ivoire,"26,378,274"
54,North Korea,"25,778,816"
55,Australia,"25,499,884"
56,Niger,"24,206,644"
57,Taiwan,"23,816,775"
58,Sri Lanka,"21,413,249"
59,Burkina Faso,"20,903,273"
60,Mali,"20,250,833"
61,Romania,"19,237,691"
62,Malawi,"19,129,952"
63,Chile,"19,116,201"
64,Kazakhstan,"18,776,707"
65,Zambia,"18,383,955"
66,Guatemala,"17,915,568"
67,Ecuador,"17,643,054"
68,Syria,"17,500,658"
69,Netherlands,"17,134,872"
70,Senegal,"16,743,927"
71,Cambodia,"16,718,965"
72,Chad,"16,425,864"
73,Somalia,"15,893,222"
74,Zimbabwe,"14,862,924"
75,Guinea,"13,132,795"
76,Rwanda,"12,952,218"
77,Benin,"12,123,200"
78,Burundi,"11,890,784"
79,Tunisia,"11,818,619"
80,Bolivia,"11,673,021"
81,Belgium,"11,589,623"
82,Haiti,"11,402,528"
83,Cuba,"11,326,616"
84,South Sudan,"11,193,725"
85,Dominican Republic,"10,847,910"
86,Czech Republic (Czechia),"10,708,981"
87,Greece,"10,423,054"
88,Jordan,"10,203,134"
89,Portugal,"10,196,709"
90,Azerbaijan,"10,139,177"
91,Sweden,"10,099,265"
92,Honduras,"9,904,607"
93,United Arab Emirates,"9,890,402"
94,Hungary,"9,660,351"
95,Tajikistan,"9,537,645"
96,Belarus,"9,449,323"
97,Austria,"9,006,398"
98,Papua New Guinea,"8,947,024"
99,Serbia,"8,737,371"
100,Israel,"8,655,535"
101,Switzerland,"8,654,622"
102,Togo,"8,278,724"
103,Sierra Leone,"7,976,983"
104,Hong Kong,"7,496,981"
105,Laos,"7,275,560"
106,Paraguay,"7,132,538"
107,Bulgaria,"6,948,445"
108,Libya,"6,871,292"
109,Lebanon,"6,825,445"
110,Nicaragua,"6,624,554"
111,Kyrgyzstan,"6,524,195"
112,El Salvador,"6,486,205"
113,Turkmenistan,"6,031,200"
114,Singapore,"5,850,342"
115,Denmark,"5,792,202"
116,Finland,"5,540,720"
117,Congo,"5,518,087"
118,Slovakia,"5,459,642"
119,Norway,"5,421,241"
120,Oman,"5,106,626"
121,State of Palestine,"5,101,414"
122,Costa Rica,"5,094,118"
123,Liberia,"5,057,681"
124,Ireland,"4,937,786"
125,Central African Republic,"4,829,767"
126,New Zealand,"4,822,233"
127,Mauritania,"4,649,658"
128,Panama,"4,314,767"
129,Kuwait,"4,270,571"
130,Croatia,"4,105,267"
131,Moldova,"4,033,963"
132,Georgia,"3,989,167"
133,Eritrea,"3,546,421"
134,Uruguay,"3,473,730"
135,Bosnia and Herzegovina,"3,280,819"
136,Mongolia,"3,278,290"
137,Armenia,"2,963,243"
138,Jamaica,"2,961,167"
139,Qatar,"2,881,053"
140,Albania,"2,877,797"
141,Puerto Rico,"2,860,853"
142,Lithuania,"2,722,289"
143,Namibia,"2,540,905"
144,Gambia,"2,416,668"
145,Botswana,"2,351,627"
146,Gabon,"2,225,734"
147,Lesotho,"2,142,249"
148,North Macedonia,"2,083,374"
149,Slovenia,"2,078,938"
150,Guinea-Bissau,"1,968,001"
151,Latvia,"1,886,198"
152,Bahrain,"1,701,575"
153,Equatorial Guinea,"1,402,985"
154,Trinidad and Tobago,"1,399,488"
155,Estonia,"1,326,535"
156,Timor-Leste,"1,318,445"
157,Mauritius,"1,271,768"
158,Cyprus,"1,207,359"
159,Eswatini,"1,160,164"
160,Djibouti,"988,000"
161,Fiji,"896,445"
162,Réunion,"895,312"
163,Comoros,"869,601"
164,Guyana,"786,552"
165,Bhutan,"771,608"
166,Solomon Islands,"686,884"
167,Macao,"649,335"
168,Montenegro,"628,066"
169,Luxembourg,"625,978"
170,Western Sahara,"597,339"
171,Suriname,"586,632"
172,Cabo Verde,"555,987"
173,Maldives,"540,544"
174,Malta,"441,543"
175,Brunei,"437,479"
176,Guadeloupe,"400,124"
177,Belize,"397,628"
178,Bahamas,"393,244"
179,Martinique,"375,265"
180,Iceland,"341,243"
181,Vanuatu,"307,145"
182,French Guiana,"298,682"
183,Barbados,"287,375"
184,New Caledonia,"285,498"
185,French Polynesia,"280,908"
186,Mayotte,"272,815"
187,Sao Tome & Principe,"219,159"
188,Samoa,"198,414"
189,Saint Lucia,"183,627"
190,Channel Islands,"173,863"
191,Guam,"168,775"
192,Curaçao,"164,093"
193,Kiribati,"119,449"
194,Micronesia,"115,023"
195,Grenada,"112,523"
196,St. Vincent & Grenadines,"110,940"
197,Aruba,"106,766"
198,Tonga,"105,695"
199,U.S. Virgin Islands,"104,425"
200,Seychelles,"98,347"
201,Antigua and Barbuda,"97,929"
202,Isle of Man,"85,033"
203,Andorra,"77,265"
204,Dominica,"71,986"
205,Cayman Islands,"65,722"
206,Bermuda,"62,278"
207,Marshall Islands,"59,190"
208,Northern Mariana Islands,"57,559"
209,Greenland,"56,770"
210,American Samoa,"55,191"
211,Saint Kitts & Nevis,"53,199"
212,Faeroe Islands,"48,863"
213,Sint Maarten,"42,876"
214,Monaco,"39,242"
215,Turks and Caicos,"38,717"
216,Saint Martin,"38,666"
217,Liechtenstein,"38,128"
218,San Marino,"33,931"
219,Gibraltar,"33,691"
220,British Virgin Islands,"30,231"
221,Caribbean Netherlands,"26,223"
222,Palau,"18,094"
223,Cook Islands,"17,564"
224,Anguilla,"15,003"
225,Tuvalu,"11,792"
226,Wallis & Futuna,"11,239"
227,Nauru,"10,824"
228,Saint Barthelemy,"9,877"
229,Saint Helena,"6,077"
230,Saint Pierre & Miquelon,"5,794"
231,Montserrat,"4,992"
232,Falkland Islands,"3,480"
233,Niue,"1,626"
234,Tokelau,"1,357"
235,Holy See,801
